Comp,Crit_Think,Oral_Comm,Math,Arts,Hum,Arts_Hum,Soc_Behav1,Soc_Behav2,Soc_Behav3,Phys_Sci,Bio_Sci,Sci_Labs
,,,,TH 102,ENGL 235,TH 102,HIST 204 ,HIST 204 ,HIST 204 ,GEOL 209,,BIOL 120L
,,,,TH 103,ENGL 236,TH 103,HIST 210,HIST 210,HIST 210,PS 100,,BIOL 200L
,,,,TH 104,ENGL 237,TH 104,HIST 230,HIST 230,HIST 230,PS 112,,BIOL 201L
,,,,TH 150,ENGL 238,TH 150,HIST 235,HIST 235,HIST 235,PHYS 100L,,BOT 120L
,,,,WGS 118 ,ENGL 239,WGS 118 ,HIST 241,HIST 241,HIST 241,PHYS 101L,,MICR 200L
,,,,,ENGL 245,ASL 111,HIST 242,HIST 242,HIST 242,PHYS 102L,,ZOOL 120L
,,,,,ENGL 246A,ASL 220,HIST 245,HIST 245,HIST 245,PHYS 201L,,
,,,,,ENGL 248A,ART 108 ,HIST 246,HIST 246,HIST 246,PHYS 202L,,
,,,,,ENGL 248B,ART 109 ,HIST 250,HIST 250,HIST 250,PHYS 203L,,
,,,,,ENGL 249,ART 124,HIST 255,HIST 255,HIST 255,,,
,,,,,FREN 201,ART 125 ,HIST 260,HIST 260,HIST 260,,,
,,,,,FREN 202,ART 207 ,HIST 265,HIST 265,HIST 265,,,
,,,,,FREN 281,CHIN 102,HIST 275,HIST 275,HIST 275,,,
,,,,,FREN 282,CHIN 201,HUM 107 ,HUM 107 ,HUM 107 ,,,
,,,,,FREN 283,CHIN 202,KIN 108 ,KIN 108 ,KIN 108 ,,,
,,,,,FREN 285,CHIN 260,POL 101,POL 101,POL 101,,,
,,,,,GERM 102,ENGL 102,POL 201,POL 201,POL 201,,,
,,,,,GERM 201,ENGL 106,POL 210,POL 210,POL 210,,,
,,,,,GERM 202,ENGL 221A,POL 220,POL 220,POL 220,,,
,,,,,HIST 101,ENGL 221B,POL 230,POL 230,POL 230,,,
,,,,,HIST 102,ENGL 222,POL 240,POL 240,POL 240,,,
,,,,,HIST 103,ENGL 223,PSYC 101,PSYC 101,PSYC 101,,,
,,,,,HIST 110,ENGL 224,PSYC 150,PSYC 150,PSYC 150,,,
,,,,,HIST 120,ENGL 225,PSYC 251,PSYC 251,PSYC 251,,,
,,,,,HIST 210,ENGL 226,PSYC 261,PSYC 261,PSYC 261,,,
,,,,,HIST 230,ENGL 227,PSYC 265,PSYC 265,PSYC 265,,,
